Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Kommune	Fylke	Lat	Lon	Høgd	Nynorsk	Bokmål	Engelsk	
105	Hafslund kirke	55	Kyrkje	Kirke	Church	Sarpsborg	Østfold	59.27266	11.13836		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Hafslund_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Hafslund_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Hafslund_kirke/forecast.xml
105	Hanestad	55	Kyrkje	Kirke	Church	Sarpsborg	Østfold	59.27498	11.04651		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Hanestad/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Hanestad/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Hanestad/forecast.xml
105	Hannestad	36	Byområde	Byområde	Part of a city	Sarpsborg	Østfold	59.27200	11.05594		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Hannestad/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Hannestad/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Hannestad/forecast.xml
105	Harehjellhytta	41	Turisthytte	Turisthytte	Hut	Sarpsborg	Østfold	59.36647	11.05999		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Harehjellhytta/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Harehjellhytta/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Harehjellhytta/forecast.xml
105	Hasle	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.31095	11.15884		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Hasle/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Hasle/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Hasle/forecast.xml
105	Holleby kirke	55	Kyrkje	Kirke	Church	Sarpsborg	Østfold	59.34349	11.11313		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Holleby_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Holleby_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Holleby_kirke/forecast.xml
105	Høysand	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.19280	11.18795		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Høysand/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Høysand/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Høysand/forecast.xml
105	Ingedal kirke	55	Kyrkje	Kirke	Church	Sarpsborg	Østfold	59.17860	11.21523		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Ingedal_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Ingedal_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Ingedal_kirke/forecast.xml
105	Ise	56	Tettbebyggelse	Tettbebyggelse	Settlement	Sarpsborg	Østfold	59.30000	11.22028		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Ise~507783/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Ise~507783/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Ise~507783/forecast.xml
105	Klokkerød	36	Byområde	Byområde	Part of a city	Sarpsborg	Østfold	59.29258	11.08687		http://www.yr.no/stad/Noreg/Østfold/Sarpsborg/Klokkerød/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Sarpsborg/Klokkerød/varsel.xml	http://www.yr.no/place/Norway/Østfold/Sarpsborg/Klokkerød/forecast.xml
